Brand Name,Category,POS Terminal Name
Jasmi's,Food & Beverages,JASMI'S MANAMA T1
Jasmi's,Food & Beverages,JASMI'S MANAMA T2
Jasmi's,Food & Beverages,JASMI'S MANAMA T3
Jasmi's,Food & Beverages,JASMI'S RIFFA T1
Jasmi's,Food & Beverages,JASMI'S RIFFA T2
Jasmi's,Food & Beverages,JASMI'S RIFFA T3
Jasmi's,Food & Beverages,JASMI'S MUHARR T1
Jasmi's,Food & Beverages,JASMI'S MUHARR T2
Jasmi's,Food & Beverages,JASMI'S MUHARR T3
Jasmi's,Food & Beverages,JASMI'S ISA TO T1
Jasmi's,Food & Beverages,JASMI'S ISA TO T2
Jasmi's,Food & Beverages,JASMI'S ISA TO T3
Jasmi's,Food & Beverages,JASMI'S HAMAD  T1
Jasmi's,Food & Beverages,JASMI'S HAMAD  T2
Jasmi's,Food & Beverages,JASMI'S HAMAD  T3
Jasmi's,Food & Beverages,JASMI'S JUFFAI T1
Jasmi's,Food & Beverages,JASMI'S JUFFAI T2
Jasmi's,Food & Beverages,JASMI'S JUFFAI T3
Jasmi's,Food & Beverages,JASMI'S SEEF T1
Jasmi's,Food & Beverages,JASMI'S SEEF T2
Jasmi's,Food & Beverages,JASMI'S SEEF T3
Jasmi's,Food & Beverages,JASMI'S SITRA T1
Jasmi's,Food & Beverages,JASMI'S SITRA T2
Jasmi's,Food & Beverages,JASMI'S SITRA T3
Jasmi's,Food & Beverages,JASMI'S AMWAJ T1
Jasmi's,Food & Beverages,JASMI'S AMWAJ T2
Jasmi's,Food & Beverages,JASMI'S AMWAJ T3
Jasmi's,Food & Beverages,JASMI'S BUDAIY T1
Jasmi's,Food & Beverages,JASMI'S BUDAIY T2
Jasmi's,Food & Beverages,JASMI'S BUDAIY T3
Jasmi's,Food & Beverages,JASMI'S ZINJ T1
Jasmi's,Food & Beverages,JASMI'S ZINJ T2
Jasmi's,Food & Beverages,JASMI'S ZINJ T3
Jasmi's,Food & Beverages,JASMI'S TUBLI T1
Jasmi's,Food & Beverages,JASMI'S TUBLI T2
Jasmi's,Food & Beverages,JASMI'S TUBLI T3
Jasmi's,Food & Beverages,JASMI'S AALI T1
Jasmi's,Food & Beverages,JASMI'S AALI T2
Jasmi's,Food & Beverages,JASMI'S AALI T3
Jasmi's,Food & Beverages,JASMI'S SAAR T1
Jasmi's,Food & Beverages,JASMI'S SAAR T2
Jasmi's,Food & Beverages,JASMI'S SAAR T3
Jasmi's,Food & Beverages,JASMI'S HOORA T1
Jasmi's,Food & Beverages,JASMI'S HOORA T2
